[2016/8/1 - 11:26:10] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/1 - 11:34:47] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/1 - 11:37:10] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/1 - 11:48:46] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/1 - 11:58:26] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/1 - 11:59:11] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/1 - 11:59:46] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/1 - 12:00:56] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/1 - 12:03:56] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/1 - 20:08:29] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/1 - 20:09:59] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/1 - 20:10:41] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/1 - 20:10:50] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 10:10:24] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 10:12:53] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 10:27:00] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 10:27:50] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 10:43:42] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 10:45:00] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 10:58:15] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 10:58:53] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 10:59:43] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 11:01:04] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 11:13:19] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
